unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"A373DD4F-6109-4002-B9B8-8FE0C8D2B60B","191000","2000-09-20","EC1Y 0RB","F","N","L","FLAT 2","CUTHBERT HARROWING HOUSE","GOLDEN LANE ESTATE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/A373DD4F-6109-4002-B9B8-8FE0C8D2B60B/current"
"9224ABAB-AE9F-4138-BF13-8E08EC72B47A","272000","2002-10-14","EC1Y 0RB","F","N","L","FLAT 5","CUTHBERT HARROWING HOUSE","GOLDEN LANE ESTATE","LONDON","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/9224ABAB-AE9F-4138-BF13-8E08EC72B47A/current"
"F7D12811-4A51-47D7-8933-C3E40DF7DF00","150000","1999-06-08","EC1Y 0RB","F","N","L","FLAT 5","CUTHBERT HARROWING HOUSE","GOLDEN LANE ESTATE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/F7D12811-4A51-47D7-8933-C3E40DF7DF00/current"
"726BF13B-0EF2-0A46-E053-6C04A8C01D0D","730000","2018-07-06","EC1Y 0RB","F","N","L","FLAT 9","CUTHBERT HARROWING HOUSE","GOLDEN LANE ESTATE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/726BF13B-0EF2-0A46-E053-6C04A8C01D0D/current"
"7CDF287D-4D8B-4FE4-8E05-60B4FC8129F6","432000","2015-09-04","EC1Y 0RD","F","N","L","FLAT 15","GREAT ARTHUR HOUSE","GOLDEN LANE ESTATE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/7CDF287D-4D8B-4FE4-8E05-60B4FC8129F6/current"
"8CAC1317-E445-0253-E053-6B04A8C08E51","424000","2019-03-29","EC1Y 0RD","F","N","L","FLAT 18","GREAT ARTHUR HOUSE","GOLDEN LANE ESTATE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1317-E445-0253-E053-6B04A8C08E51/current"
"8A08712E-31BE-495D-BC84-E128EB807BF7","243000","2008-12-22","EC1Y 0RD","F","N","L","FLAT 20","GREAT ARTHUR HOUSE","GOLDEN LANE ESTATE","LONDON","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A08712E-31BE-495D-BC84-E128EB807BF7/current"
"204D5390-360E-4298-83D5-07B5A029236E","249995","2008-10-10","EC1Y 0RD","F","N","L","FLAT 27","GREAT ARTHUR HOUSE","GOLDEN LANE ESTATE","LONDON","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/204D5390-360E-4298-83D5-07B5A029236E/current"
"AFA9A9EA-86DA-4F1C-9809-BED0B29CD9A2","170000","2004-06-03","EC1Y 0RD","F","N","L","FLAT 27","GREAT ARTHUR HOUSE","GOLDEN LANE ESTATE","LONDON","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/AFA9A9EA-86DA-4F1C-9809-BED0B29CD9A2/current"
"2CACAD06-BAA5-4E67-876D-F288B343EC9B","115000","2001-07-10","EC1Y 0RD","F","N","L","FLAT 31","GREAT ARTHUR HOUSE","GOLDEN LANE ESTATE","LONDON","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/2CACAD06-BAA5-4E67-876D-F288B343EC9B/current"
"E35BD68F-67AD-4364-B42E-4CE2DB408452","112000","2000-02-18","EC1Y 0RD","F","N","L","FLAT 31","GREAT ARTHUR HOUSE","GOLDEN LANE ESTATE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/E35BD68F-67AD-4364-B42E-4CE2DB408452/current"
"21E5FEB7-82EE-2439-E050-A8C06205342E","360000","2015-04-16","EC1Y 0RD","F","N","L","FLAT 4","GREAT ARTHUR HOUSE","GOLDEN LANE ESTATE","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/21E5FEB7-82EE-2439-E050-A8C06205342E/current"
"97D491B1-47FF-40B3-A2E6-414F89E98BA5","130000","2001-10-15","EC1Y 0RD","F","N","L","FLAT 9","GREAT ARTHUR HOUSE","GOLDEN LANE ESTATE","LONDON","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/97D491B1-47FF-40B3-A2E6-414F89E98BA5/current"
"7168E952-6BCF-456F-B5E7-48670A0C2F9A","206500","2003-09-26","EC1Y 0RE","F","N","L","FLAT 35","GREAT ARTHUR HOUSE","GOLDEN LANE ESTATE","LONDON","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/7168E952-6BCF-456F-B5E7-48670A0C2F9A/current"
