date,barbican,golden_lane,city_of_london_flats,london_flats,england_flats
2020-12-18,820000,,,,
2010-10-08,527500,,,,
2002-07-19,260000,,,,
2018-06-29,460000,,,,
1998-10-14,88000,,,,
1996-12-02,70000,,,,
2014-01-17,745000,,,,
2010-04-21,489000,,,,
2010-10-26,660000,,,,
2001-01-26,273500,,,,
2018-02-23,1420000,,,,
2010-01-15,797500,,,,
2003-08-08,446700,,,,
2001-02-16,154000,,,,
2005-09-05,197500,,,,
1997-10-30,87500,,,,
2022-03-01,410000,,,,
2012-11-30,310000,,,,
2011-04-28,250000,,,,
2001-08-30,130000,,,,
1995-12-20,55000,,,,
1995-03-14,47500,,,,
2004-12-22,216500,,,,
2000-04-20,126000,,,,
1999-03-22,95000,,,,
1996-08-23,59999,,,,
2015-08-11,907500,,,,
2001-01-07,222000,,,,
1996-12-09,104000,,,,
1997-06-27,267000,,,,
2023-06-14,1630000,,,,
2003-10-03,510000,,,,
2002-12-17,460000,,,,
2012-02-15,330000,,,,
2006-07-31,405000,,,,
2008-01-10,285000,,,,
2006-05-09,187000,,,,
1995-03-07,49500,,,,
1995-10-20,207000,,,,
2012-08-20,940000,,,,
2022-09-14,880000,,,,
2006-06-30,432778,,,,
2006-07-07,315000,,,,
2019-10-25,725000,,,,
2002-01-22,230000,,,,
2011-12-01,475000,,,,
1995-05-31,95000,,,,
2024-05-09,1700000,,,,
2003-11-26,530000,,,,
1999-08-27,252000,,,,
2003-03-20,261000,,,,
2024-08-01,510000,,,,
2009-06-19,305000,,,,
2005-04-01,245000,,,,
2002-04-29,180000,,,,
1998-11-23,165000,,,,
2002-10-25,285000,,,,
1999-02-10,145000,,,,
2005-01-12,215000,,,,
1998-11-09,92000,,,,
2023-02-01,645000,,,,
2007-02-27,380000,,,,
2003-12-04,255000,,,,
2000-11-24,315000,,,,
1997-10-10,200000,,,,
1996-12-10,190000,,,,
2001-12-13,179500,,,,
2000-12-12,134000,,,,
2009-02-27,370000,,,,
2019-09-11,1590000,,,,
1999-10-25,270000,,,,
2022-12-06,930000,,,,
2002-08-30,295000,,,,
1997-08-11,59000,,,,
2008-01-09,563000,,,,
2011-07-29,460000,,,,
2001-08-02,245000,,,,
2001-03-14,210000,,,,
2015-09-14,1410000,,,,
2009-08-21,695000,,,,
1998-04-08,215000,,,,
1995-02-13,80000,,,,
2017-09-08,995000,,,,
2007-02-28,495000,,,,
2022-08-02,545000,,,,
2015-06-09,500000,,,,
2011-06-14,310000,,,,
2019-06-21,1635000,,,,
1995-09-01,108000,,,,
1995-12-19,171100,,,,
2001-01-25,220000,,,,
2002-12-13,645000,,,,
2003-11-14,601000,,,,
2022-12-15,985000,,,,
2018-06-15,925000,,,,
2017-08-07,860000,,,,
2010-08-06,880000,,,,
2007-01-31,750000,,,,
1997-06-06,185000,,,,
2001-04-23,210000,,,,
1999-05-07,103000,,,,
1998-01-07,99000,,,,
2006-11-30,550000,,,,
2004-10-25,355000,,,,
1998-10-23,172500,,,,
1999-10-29,181500,,,,
2011-05-20,500000,,,,
2006-08-18,435111,,,,
1999-04-30,145000,,,,
2007-05-15,476000,,,,
2014-01-13,845000,,,,
2012-01-12,530000,,,,
2002-03-26,250000,,,,
1999-03-18,172000,,,,
1998-09-05,172500,,,,
2001-04-02,212000,,,,
2001-03-02,236000,,,,
2001-08-14,150000,,,,
2015-04-24,525000,,,,
1999-06-03,95000,,,,
1996-11-22,63000,,,,
2004-04-02,538000,,,,
1996-03-29,190100,,,,
2021-08-06,790000,,,,
2015-10-30,899500,,,,
2002-12-09,315000,,,,
1997-01-31,104000,,,,
2007-08-13,352500,,,,
2006-03-29,380000,,,,
1997-05-23,115000,,,,
1998-07-27,84000,,,,
2009-05-22,966000,,,,
2012-09-12,570000,,,,
2007-01-29,465000,,,,
2001-03-16,220000,,,,
2017-12-12,1450000,,,,
2015-05-29,840000,,,,
2007-09-19,605000,,,,
2001-12-19,268000,,,,
2011-05-26,585100,,,,
2001-05-03,240000,,,,
1999-11-16,185000,,,,
1997-07-24,154000,,,,
2024-07-02,940000,,,,
2010-12-16,573000,,,,
1999-04-26,178500,,,,
2014-08-15,1655000,,,,
2010-09-24,820000,,,,
2005-06-09,325000,,,,
1996-09-12,92000,,,,
2014-01-16,710000,,,,
2007-05-31,425000,,,,
2000-03-20,80000,,,,
2021-03-08,830000,,,,
2010-08-27,620000,,,,
2004-11-05,380000,,,,
2017-12-21,635000,,,,
1999-12-10,195000,,,,
2003-10-03,235000,,,,
2000-02-17,230000,,,,
2000-04-05,135000,,,,
1999-07-23,95000,,,,
2006-10-06,675000,,,,
2003-04-30,236123,,,,
1996-03-15,150000,,,,
2004-07-19,196000,,,,
1999-12-07,115000,,,,
2023-08-30,405000,,,,
2014-03-27,780000,,,,
2000-09-29,237000,,,,
2002-09-30,535000,,,,
2019-04-15,950000,,,,
2012-11-02,645000,,,,
1995-01-25,124000,,,,
1999-04-30,249500,,,,
2024-05-24,935000,,,,
2005-06-07,408000,,,,
2001-08-31,292000,,,,
2004-02-19,313000,,,,
2001-09-11,311750,,,,
2022-10-03,1137000,,,,
2004-11-02,335000,,,,
1999-07-23,172000,,,,
2014-05-09,850000,,,,
2000-08-13,231020,,,,
2008-07-25,500000,,,,
2002-04-30,300000,,,,
1998-05-01,179500,,,,
2022-06-24,730000,,,,
2021-06-28,815000,,,,
2021-06-01,882500,,,,
2016-03-31,1150000,,,,
2013-02-28,725000,,,,
2002-09-30,330000,,,,
1998-05-11,150000,,,,
2018-09-07,900000,,,,
1997-02-04,123000,,,,
2020-11-09,1100000,,,,
2002-01-16,250000,,,,
1998-07-31,155000,,,,
2014-06-18,700000,,,,
2013-02-25,420000,,,,
2010-01-28,355000,,,,
2006-11-17,295000,,,,
2006-05-05,245000,,,,
2005-10-26,235000,,,,
1997-06-23,85000,,,,
2021-08-09,1050000,,,,
2015-05-07,1001007,,,,
2002-11-01,325000,,,,
1998-11-13,179000,,,,
2022-08-05,950000,,,,
2015-07-06,910000,,,,
1998-08-14,155000,,,,
2016-06-03,785000,,,,
2004-03-05,240790,,,,
2018-07-23,518000,,,,
2014-04-07,510000,,,,
2005-05-12,211000,,,,
1998-01-09,91000,,,,
1999-08-02,130000,,,,
1996-09-05,71000,,,,
2017-09-20,950000,,,,
2016-09-30,880000,,,,
2014-11-17,1800000,,,,
1998-06-17,190000,,,,
2014-06-23,1295000,,,,
2003-07-31,347500,,,,
1999-04-16,190000,,,,
2004-03-26,250000,,,,
2003-09-16,242500,,,,
2023-01-24,710000,,,,
2010-08-13,455000,,,,
2002-02-04,245000,,,,
1998-09-29,127000,,,,
2003-11-05,192500,,,,
2002-04-26,168000,,,,
2014-10-31,967500,,,,
2000-05-31,220000,,,,
1995-12-15,121000,,,,
2022-04-01,1075000,,,,
1998-03-06,120000,,,,
2013-07-11,812000,,,,
2006-09-28,495000,,,,
1998-10-16,165000,,,,
1999-12-03,340000,,,,
2008-07-01,455000,,,,
1998-02-06,119500,,,,
2012-02-17,320000,,,,
1998-05-27,130000,,,,
1995-07-19,97500,,,,
2013-10-14,981000,,,,
2001-04-02,347500,,,,
2004-02-27,275000,,,,
1999-06-25,143000,,,,
2020-12-08,800000,,,,
2015-09-25,2150100,,,,
1996-07-01,73000,,,,
2019-12-10,475000,,,,
2005-09-15,330000,,,,
2002-01-07,246000,,,,
1999-11-05,180000,,,,
1997-06-23,67000,,,,
2012-09-03,1100000,,,,
2017-08-18,1350000,,,,
2000-12-01,362000,,,,
2013-03-15,699950,,,,
1999-12-21,225000,,,,
2009-10-28,495000,,,,
2002-09-02,300000,,,,
1999-08-02,151000,,,,
2005-03-01,320000,,,,
2007-09-10,695000,,,,
1999-09-03,188000,,,,
1995-06-28,100000,,,,
2018-06-01,485000,,,,
2007-05-25,305000,,,,
2000-08-16,380000,,,,
2000-01-28,275000,,,,
2000-11-23,534000,,,,
2021-06-21,895000,,,,
2011-12-16,660000,,,,
2011-05-25,575000,,,,
2005-06-09,344000,,,,
2001-03-28,234000,,,,
2004-08-05,234500,,,,
2002-07-01,195000,,,,
2019-12-20,965000,,,,
2017-06-23,875000,,,,
2024-04-19,730000,,,,
1998-05-15,250000,,,,
2019-04-26,772000,,,,
1995-04-11,93750,,,,
2018-12-17,806000,,,,
2017-05-08,570000,,,,
2010-12-01,320000,,,,
2010-01-22,275000,,,,
2000-03-10,145000,,,,
2009-05-19,395000,,,,
2004-12-07,360000,,,,
1995-09-20,106000,,,,
2014-09-16,918000,,,,
1995-03-31,110000,,,,
2005-04-13,318000,,,,
2022-10-07,1150000,,,,
2012-12-14,835000,,,,
2005-07-04,388000,,,,
1995-03-16,107000,,,,
2013-12-13,700000,,,,
1998-05-15,143000,,,,
2023-09-13,890000,,,,
2015-07-02,840000,,,,
2021-04-30,807500,,,,
1999-11-05,218000,,,,
1995-02-09,130000,,,,
2006-07-28,640250,,,,
2019-08-20,895000,,,,
2012-01-20,565000,,,,
2005-02-18,303000,,,,
2003-09-29,265000,,,,
1996-11-04,97500,,,,
1998-05-22,80000,,,,
1998-02-17,249999,,,,
1997-03-24,145000,,,,
2023-06-16,1135000,,,,
2019-02-04,920000,,,,
1999-06-25,169500,,,,
2010-06-18,800000,,,,
2023-06-01,2300000,,,,
2019-06-14,1725000,,,,
1996-06-26,180000,,,,
2015-09-22,1865000,,,,
2001-09-14,475000,,,,
1995-10-31,110000,,,,
2007-09-28,285000,,,,
2003-08-21,160000,,,,
2023-08-11,475000,,,,
2018-08-24,510000,,,,
2014-10-17,472500,,,,
2002-07-26,182500,,,,
2002-05-17,140000,,,,
2016-03-24,1000000,,,,
2017-09-25,1085000,,,,
1999-01-12,182500,,,,
1995-04-03,115000,,,,
2006-07-04,390013,,,,
2004-08-11,310000,,,,
1997-06-11,120000,,,,
2002-08-14,320000,,,,
1999-05-07,175000,,,,
2017-01-16,1775000,,,,
2007-12-11,625000,,,,
1996-02-01,64500,,,,
1998-02-04,232000,,,,
2006-09-11,625000,,,,
2001-10-19,465000,,,,
2001-04-30,215000,,,,
1997-04-11,190000,,,,
2021-12-17,700000,,,,
2021-09-28,837000,,,,
2022-03-01,875000,,,,
1995-08-02,110000,,,,
2012-02-28,962127,,,,
2021-06-04,699000,,,,
1995-07-18,100000,,,,
2009-09-04,485000,,,,
2002-07-10,310000,,,,
1997-02-28,120000,,,,
2005-05-27,160000,,,,
1999-12-10,170000,,,,
1995-06-26,102000,,,,
