date,"FLAT 30, BASTERFIELD HOUSE","FLAT 24, BASTERFIELD HOUSE","FLAT 334, CRESCENT HOUSE","FLAT 18, BASTERFIELD HOUSE","FLAT 3, BAYER HOUSE","City of London, all sales average","City of London, flats average","London, all sales average","London, flats average","England, all sales average","England, flats average"
1997-11-01,110000,,,,,,,,,,
2008-10-01,430000,,,,,,,,,,
2022-02-01,715000,,,,,,,,,,
2001-01-01,,190000,,,,,,,,,
2011-05-01,,432000,,,,,,,,,
2024-09-01,,655000,,,,,,,,,
2002-01-01,,,173000,,,,,,,,
2006-10-01,,,265000,,,,,,,,
2023-09-01,,,442000,,,,,,,,
2000-09-01,,,,210000,,,,,,,
2006-07-01,,,,425000,,,,,,,
2021-11-01,,,,700000,,,,,,,
2003-10-01,,,,,246000,,,,,,
2004-04-01,,,,,275000,,,,,,
2024-05-01,,,,,745000,,,,,,
2000-03-01,,,,,,178339,,,,,
2012-11-01,,,,,,521448,,,,,
2001-06-01,,,,,,242435,,,,,
2020-03-01,,,,,,847240,,,,,
2004-10-01,,,,,,289912,,,,,
2011-07-01,,,,,,420435,,,,,
2000-08-01,,,,,,221952,,,,,
2021-08-01,,,,,,923210,,,,,
2005-03-01,,,,,,304851,,,,,
2022-05-01,,,,,,889871,,,,,
2006-07-01,,,,,,338307,,,,,
2021-10-01,,,,,,798190,,,,,
2004-03-01,,,,,,272731,,,,,
2008-06-01,,,,,,420665,,,,,
2008-08-01,,,,,,472397,,,,,
2001-04-01,,,,,,205494,,,,,
2015-09-01,,,,,,767464,,,,,
2019-08-01,,,,,,812854,,,,,
2021-07-01,,,,,,888010,,,,,
2000-02-01,,,,,,174152,,,,,
2023-01-01,,,,,,884057,,,,,
2009-10-01,,,,,,399867,,,,,
2024-05-01,,,,,,813219,,,,,
2000-04-01,,,,,,183101,,,,,
2008-02-01,,,,,,453707,,,,,
2005-06-01,,,,,,282866,,,,,
2018-07-01,,,,,,809697,,,,,
2012-04-01,,,,,,524290,,,,,
2007-04-01,,,,,,419005,,,,,
2002-07-01,,,,,,262428,,,,,
2013-05-01,,,,,,578037,,,,,
2000-06-01,,,,,,198191,,,,,
2014-11-01,,,,,,762735,,,,,
2007-05-01,,,,,,411183,,,,,
2013-07-01,,,,,,651116,,,,,
1998-12-01,,,,,,155801,,,,,
2021-09-01,,,,,,910270,,,,,
1998-03-01,,,,,,156508,,,,,
2005-11-01,,,,,,327256,,,,,
2000-10-01,,,,,,245062,,,,,
2001-08-01,,,,,,231632,,,,,
2011-05-01,,,,,,459477,,,,,
1999-12-01,,,,,,169309,,,,,
2012-03-01,,,,,,527408,,,,,
2015-10-01,,,,,,781358,,,,,
2020-11-01,,,,,,771213,,,,,
2000-07-01,,,,,,214852,,,,,
2010-09-01,,,,,,455290,,,,,
2019-12-01,,,,,,758112,,,,,
2009-11-01,,,,,,397909,,,,,
1998-05-01,,,,,,143625,,,,,
2020-05-01,,,,,,917838,,,,,
2006-11-01,,,,,,354438,,,,,
2001-11-01,,,,,,346458,,,,,
2006-12-01,,,,,,365755,,,,,
2012-05-01,,,,,,573532,,,,,
2014-10-01,,,,,,763369,,,,,
2004-02-01,,,,,,301092,,,,,
2017-10-01,,,,,,818477,,,,,
2002-08-01,,,,,,274016,,,,,
1998-06-01,,,,,,132251,,,,,
2017-08-01,,,,,,847422,,,,,
2016-04-01,,,,,,805320,,,,,
2009-02-01,,,,,,393361,,,,,
2009-12-01,,,,,,411955,,,,,
2017-02-01,,,,,,820632,,,,,
2011-08-01,,,,,,421486,,,,,
2003-11-01,,,,,,277515,,,,,
2006-03-01,,,,,,325106,,,,,
2016-02-01,,,,,,765644,,,,,
2018-12-01,,,,,,812504,,,,,
2008-04-01,,,,,,382571,,,,,
2000-01-01,,,,,,173738,,,,,
2012-02-01,,,,,,510537,,,,,
2012-07-01,,,,,,543037,,,,,
2017-04-01,,,,,,906024,,,,,
2017-09-01,,,,,,836674,,,,,
2022-08-01,,,,,,920808,,,,,
1999-03-01,,,,,,174586,,,,,
2024-09-01,,,,,,719570,,,,,
2004-12-01,,,,,,331161,,,,,
2008-09-01,,,,,,466082,,,,,
2016-06-01,,,,,,907965,,,,,
1998-10-01,,,,,,162020,,,,,
2022-01-01,,,,,,1033995,,,,,
2022-11-01,,,,,,928082,,,,,
2004-04-01,,,,,,269514,,,,,
2019-11-01,,,,,,772325,,,,,
2023-05-01,,,,,,912786,,,,,
1998-04-01,,,,,,163403,,,,,
2002-11-01,,,,,,280283,,,,,
2003-01-01,,,,,,261645,,,,,
2004-09-01,,,,,,305126,,,,,
2005-04-01,,,,,,317398,,,,,
2020-09-01,,,,,,800735,,,,,
1999-09-01,,,,,,166193,,,,,
2010-03-01,,,,,,498241,,,,,
1998-02-01,,,,,,143829,,,,,
2010-10-01,,,,,,456016,,,,,
1998-01-01,,,,,,124382,,,,,
2005-07-01,,,,,,283641,,,,,
2013-03-01,,,,,,527874,,,,,
2015-02-01,,,,,,760550,,,,,
2016-08-01,,,,,,848269,,,,,
2018-02-01,,,,,,783266,,,,,
2018-01-01,,,,,,802129,,,,,
2023-03-01,,,,,,873492,,,,,
2023-09-01,,,,,,907496,,,,,
2002-02-01,,,,,,284015,,,,,
2019-09-01,,,,,,803676,,,,,
2010-06-01,,,,,,428120,,,,,
2009-09-01,,,,,,391138,,,,,
