date,"FLAT 105, SEDDON HOUSE","FLAT 5, THOMAS MORE HOUSE","FLAT 206, GILBERT HOUSE","FLAT 114, WILLOUGHBY HOUSE","FLAT 192, CROMWELL TOWER","FLAT 372, CROMWELL TOWER","FLAT 254, BEN JONSON HOUSE","FLAT 309, BEN JONSON HOUSE","FLAT 29, ANDREWES HOUSE","FLAT 208, BRYER COURT","FLAT 608, BRYER COURT","FLAT 52, SHAKESPEARE TOWER","FLAT 242, LAUDERDALE TOWER","FLAT 271, LAUDERDALE TOWER","FLAT 177, DEFOE HOUSE","FLAT 516, BUNYAN COURT","FLAT 21, CROMWELL TOWER","FLAT 15, SPEED HOUSE","FLAT 12, JOHN TRUNDLE COURT","FLAT 14, SPEED HOUSE","FLAT 144, ANDREWES HOUSE","FLAT 108, THOMAS MORE HOUSE","FLAT 221, CROMWELL TOWER","FLAT 143, ANDREWES HOUSE","FLAT 121, LAUDERDALE TOWER","FLAT 243, BEN JONSON HOUSE","FLAT 87, BRETON HOUSE","FLAT 7, BRETON HOUSE","FLAT 78, JOHN TRUNDLE COURT","FLAT 23, THOMAS MORE HOUSE","FLAT 123, SHAKESPEARE TOWER","FLAT 132, DEFOE HOUSE","FLAT 320, BUNYAN COURT","FLAT 156, DEFOE HOUSE","FLAT 541, WILLOUGHBY HOUSE","FLAT 6, THOMAS MORE HOUSE","FLAT 61, ANDREWES HOUSE","FLAT 33, LAUDERDALE TOWER","FLAT 35, JOHN TRUNDLE COURT","FLAT 105, BRYER COURT","FLAT 304, BRYER COURT","FLAT 517, BEN JONSON HOUSE","FLAT 703, SEDDON HOUSE","FLAT 60, DEFOE HOUSE","FLAT 566, BEN JONSON HOUSE","FLAT 372, LAUDERDALE TOWER","FLAT 24, ANDREWES HOUSE","FLAT 45, BRETON HOUSE","FLAT 107, ANDREWES HOUSE","FLAT 13, DEFOE HOUSE","FLAT 93, BRETON HOUSE","FLAT 36, BRETON HOUSE","FLAT 85, JOHN TRUNDLE COURT","FLAT 107, BRETON HOUSE","FLAT 80, JOHN TRUNDLE COURT","FLAT 30, DEFOE HOUSE","FLAT 131, LAUDERDALE TOWER","FLAT 222, BEN JONSON HOUSE","FLAT 63, LAUDERDALE TOWER","FLAT 67, THOMAS MORE HOUSE","FLAT 233, BEN JONSON HOUSE","FLAT 504, MOUNTJOY HOUSE","FLAT 220, BEN JONSON HOUSE","FLAT 308, GILBERT HOUSE","FLAT 505, BUNYAN COURT","FLAT 53, ANDREWES HOUSE","FLAT 25, THOMAS MORE HOUSE","FLAT 64, JOHN TRUNDLE COURT","FLAT 142, LAUDERDALE TOWER","FLAT 24, JOHN TRUNDLE COURT","FLAT 87, THOMAS MORE HOUSE","FLAT 39, JOHN TRUNDLE COURT","FLAT 141, SHAKESPEARE TOWER","FLAT 62, SHAKESPEARE TOWER","FLAT 209, SEDDON HOUSE","FLAT 246, BEN JONSON HOUSE","FLAT 65, SPEED HOUSE","FLAT 108, MOUNTJOY HOUSE","FLAT 67, BRETON HOUSE","FLAT 271, CROMWELL TOWER","FLAT 133, LAUDERDALE TOWER","FLAT 250, BEN JONSON HOUSE","FLAT 35, THOMAS MORE HOUSE","FLAT 104, JOHN TRUNDLE COURT","FLAT 405, BRYER COURT","FLAT 118, WILLOUGHBY HOUSE","FLAT 512, BUNYAN COURT","FLAT 238, BEN JONSON HOUSE","FLAT 154, THOMAS MORE HOUSE","FLAT 101, SEDDON HOUSE","FLAT 604, BRYER COURT","FLAT 342, BEN JONSON HOUSE","FLAT 48, DEFOE HOUSE","FLAT 37, SPEED HOUSE","FLAT 112, THOMAS MORE HOUSE","FLAT 103, JOHN TRUNDLE COURT","FLAT 340, WILLOUGHBY HOUSE","FLAT 132, ANDREWES HOUSE","FLAT 527, BEN JONSON HOUSE","FLAT 182, ANDREWES HOUSE","FLAT 96, BRETON HOUSE","FLAT 303, LAUDERDALE TOWER","FLAT 519, BEN JONSON HOUSE","FLAT 74, SPEED HOUSE","FLAT 162, SHAKESPEARE TOWER","FLAT 121, ANDREWES HOUSE","FLAT 153, SHAKESPEARE TOWER","FLAT 77, THOMAS MORE HOUSE","FLAT 10, ANDREWES HOUSE","FLAT 311, BEN JONSON HOUSE","FLAT 107, WILLOUGHBY HOUSE","FLAT 3, JOHN TRUNDLE COURT","FLAT 268, BEN JONSON HOUSE","FLAT 80, DEFOE HOUSE","FLAT 11, SHAKESPEARE TOWER","FLAT 308, WILLOUGHBY HOUSE","FLAT 119, THOMAS MORE HOUSE","FLAT 213, CROMWELL TOWER","FLAT 102, WILLOUGHBY HOUSE","FLAT 37, BRETON HOUSE","FLAT 206, SEDDON HOUSE","FLAT 192, SHAKESPEARE TOWER","FLAT 4, THOMAS MORE HOUSE","FLAT 211, BUNYAN COURT","FLAT 108, BRYER COURT","FLAT 146, ANDREWES HOUSE"
2002-10-01,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-01,390000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-01,,292000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-01,,408000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-01,,935000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-01,,,179000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-01,,,325000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,,,1001007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,,,1050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-11-01,,,,107500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,141000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-01,,,,249950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-01,,,,490000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01,,,,716000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-01,,,,,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-01,,,,,550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-10-01,,,,,745000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
