"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Average price All property types","Percentage change (monthly) All property types","Percentage change (yearly) All property types","House price index Detached houses","Average price Detached houses","Percentage change (monthly) Detached houses","Percentage change (yearly) Detached houses","House price index Semi-detached houses","Average price Semi-detached houses","Percentage change (monthly) Semi-detached houses","Percentage change (yearly) Semi-detached houses","House price index Terraced houses","Average price Terraced houses","Percentage change (monthly) Terraced houses","Percentage change (yearly) Terraced houses","House price index Flats and maisonettes","Average price Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Pivotable date"
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1995-01,17,monthly,11.67,91449,,,,,,,,,,,,,,,11.71,91484,,,1995-01-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1995-02,7,monthly,10.49,82203,-10.11,,,,,,,,,,,,,,10.52,82173,-10.18,,1995-02-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1995-03,14,monthly,10.1,79121,-3.75,,,,,,,,,,,,,,10.12,79069,-3.78,,1995-03-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1995-04,7,monthly,9.84,77101,-2.55,,,,,,,,,,,,,,9.87,77049,-2.56,,1995-04-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1995-05,10,monthly,10.77,84409,9.48,,,,,,,,,,,,,,10.81,84395,9.53,,1995-05-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1995-06,17,monthly,12.11,94901,12.43,,,,,,,,,,,,,,12.15,94927,12.48,,1995-06-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1995-07,13,monthly,14.05,110128,16.05,,,,,,,,,,,,,,14.1,110121,16.01,,1995-07-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1995-08,14,monthly,14.33,112329,2.0,,,,,,,,,,,,,,14.38,112273,1.95,,1995-08-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1995-09,17,monthly,13.33,104473,-6.99,,,,,,,,,,,,,,13.37,104400,-7.01,,1995-09-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1995-10,14,monthly,13.79,108038,3.41,,,,,,,,,,,,,,13.83,108023,3.47,,1995-10-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1995-11,11,monthly,15.01,117636,8.88,,,,,,,,,,,,,,15.07,117662,8.92,,1995-11-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1995-12,18,monthly,16.24,127232,8.16,,,,,,,,,,,,,,16.29,127238,8.14,,1995-12-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-01,17,monthly,13.91,108999,-14.33,19.19,,,,,,,,,,,,,13.95,108912,-14.4,19.05,1996-01-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-02,10,monthly,11.91,93357,-14.35,13.57,,,,,,,,,,,,,11.94,93217,-14.41,13.44,1996-02-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-03,17,monthly,11.96,93707,0.37,18.44,,,,,,,,,,,,,11.98,93528,0.33,18.29,1996-03-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-04,14,monthly,15.38,120543,28.64,56.34,,,,,,,,,,,,,15.41,120314,28.64,56.15,1996-04-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-05,19,monthly,14.3,112050,-7.05,32.75,,,,,,,,,,,,,14.32,111838,-7.05,32.52,1996-05-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-06,28,monthly,14.58,114226,1.94,20.36,,,,,,,,,,,,,14.6,114007,1.94,20.1,1996-06-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-07,30,monthly,12.45,97547,-14.6,-11.42,,,,,,,,,,,,,12.47,97352,-14.61,-11.6,1996-07-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-08,25,monthly,14.57,114179,17.05,1.65,,,,,,,,,,,,,14.59,113948,17.05,1.49,1996-08-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-09,32,monthly,13.8,108138,-5.29,3.51,,,,,,,,,,,,,13.82,107910,-5.3,3.36,1996-09-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-10,33,monthly,12.62,98934,-8.51,-8.43,,,,,,,,,,,,,12.64,98727,-8.51,-8.61,1996-10-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-11,31,monthly,12.72,99707,0.78,-15.24,,,,,,,,,,,,,12.74,99500,0.78,-15.44,1996-11-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1996-12,26,monthly,13.58,106427,6.74,-16.35,,,,,,,,,,,,,13.6,106210,6.74,-16.53,1996-12-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-01,22,monthly,14.85,116343,9.32,6.74,,,,,,,,,,,,,14.87,116099,9.31,6.6,1997-01-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-02,37,monthly,14.18,111142,-4.47,19.05,,,,,,,,,,,,,14.2,110901,-4.48,18.97,1997-02-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-03,70,monthly,13.72,107488,-3.29,14.71,,,,,,,,,,,,,13.73,107247,-3.29,14.67,1997-03-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-04,19,monthly,13.84,108480,0.92,-10.01,,,,,,,,,,,,,13.86,108235,0.92,-10.04,1997-04-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-05,12,monthly,14.73,115453,6.43,3.04,,,,,,,,,,,,,14.75,115192,6.43,3.0,1997-05-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-06,21,monthly,15.1,118317,2.48,3.58,,,,,,,,,,,,,15.11,118039,2.47,3.54,1997-06-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-07,26,monthly,14.93,117034,-1.08,19.98,,,,,,,,,,,,,14.95,116745,-1.1,19.92,1997-07-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-08,9,monthly,14.49,113585,-2.95,-0.52,,,,,,,,,,,,,14.51,113287,-2.96,-0.58,1997-08-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-09,22,monthly,14.69,115159,1.39,6.49,,,,,,,,,,,,,14.71,114851,1.38,6.43,1997-09-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-10,22,monthly,15.47,121251,5.29,22.56,,,,,,,,,,,,,15.48,120933,5.3,22.49,1997-10-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-11,18,monthly,16.73,131074,8.1,31.46,,,,,,,,,,,,,16.74,130737,8.11,31.39,1997-11-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1997-12,37,monthly,16.59,130035,-0.79,22.18,,,,,,,,,,,,,16.61,129705,-0.79,22.12,1997-12-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1998-01,48,monthly,15.87,124382,-4.35,6.91,,,,,,,,,,,,,15.89,124067,-4.35,6.86,1998-01-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1998-02,43,monthly,18.35,143829,15.63,29.41,,,,,,,,,,,,,18.37,143492,15.66,29.39,1998-02-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,1998-03,39,monthly,19.97,156508,8.82,45.61,,,,,,,,,,,,,19.99,156148,8.82,45.6,1998-03-01
