"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Average price All property types","Percentage change (monthly) All property types","Percentage change (yearly) All property types","House price index Detached houses","Average price Detached houses","Percentage change (monthly) Detached houses","Percentage change (yearly) Detached houses","House price index Semi-detached houses","Average price Semi-detached houses","Percentage change (monthly) Semi-detached houses","Percentage change (yearly) Semi-detached houses","House price index Terraced houses","Average price Terraced houses","Percentage change (monthly) Terraced houses","Percentage change (yearly) Terraced houses","House price index Flats and maisonettes","Average price Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Pivotable date"
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1995-01,47639,monthly,26.23,53203,,1.39,28.26,86314,,,27.44,51533,,,25.28,41490,,,23.76,45219,,,1995-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1995-02,47880,monthly,26.17,53096,-0.2,1.18,27.79,84877,-1.66,,27.7,52026,0.96,,25.39,41674,0.44,,23.28,44292,-2.05,,1995-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1995-03,67025,monthly,26.23,53201,0.2,1.38,27.69,84594,-0.33,,27.6,51846,-0.35,,25.53,41906,0.56,,23.69,45074,1.77,,1995-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1995-04,56925,monthly,26.42,53591,0.73,1.03,28.06,85703,1.31,,27.72,52073,0.44,,25.6,42021,0.27,,24.07,45807,1.63,,1995-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1995-05,64192,monthly,26.46,53678,0.16,1.19,27.93,85313,-0.46,,27.9,52403,0.63,,25.67,42130,0.26,,24.05,45760,-0.1,,1995-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1995-06,72640,monthly,26.49,53735,0.11,1.3,28.01,85562,0.29,,27.9,52395,-0.02,,25.58,41986,-0.34,,24.36,46359,1.31,,1995-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1995-07,64242,monthly,26.57,53901,0.31,0.34,28.5,87041,1.73,,27.87,52344,-0.1,,25.67,42130,0.34,,23.98,45637,-1.56,,1995-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1995-08,69269,monthly,26.42,53600,-0.56,-0.22,28.36,86622,-0.48,,27.75,52130,-0.41,,25.52,41883,-0.59,,23.74,45170,-1.02,,1995-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1995-09,67251,monthly,26.28,53309,-0.54,-0.77,28.01,85562,-1.22,,27.62,51885,-0.47,,25.46,41786,-0.23,,23.69,45073,-0.22,,1995-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1995-10,61264,monthly,26.05,52845,-0.87,-1.53,28.08,85767,0.24,,27.49,51624,-0.5,,24.89,40849,-2.24,,23.62,44951,-0.27,,1995-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1995-11,63955,monthly,26.02,52788,-0.11,-1.64,27.94,85351,-0.49,,27.42,51498,-0.25,,24.91,40879,0.07,,23.75,45190,0.53,,1995-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1995-12,69345,monthly,26.09,52922,0.25,-1.39,27.69,84583,-0.9,,27.55,51739,0.47,,25.16,41291,1.01,,23.74,45167,-0.05,,1995-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1996-01,48694,monthly,25.8,52333,-1.11,-1.63,27.83,85000,0.49,-1.52,27.13,50961,-1.5,-1.11,24.71,40553,-1.79,-2.26,23.4,44528,-1.41,-1.53,1996-01-01
